paths,target,contrast,energy,homogeneity,correlation,dissimilarity
./pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated3-rotated3.jpg,fracture,79.96448681,0.204392317,0.562253985,0.979639823,4.033220721
./pages/models/Bone Fracture Detection/Baseline/fracture/10.jpg,fracture,9.321399644,0.180578153,0.730003555,0.99541572,0.926515468
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated1-rotated1.jpg,fracture,216.9050233,0.106690782,0.511111035,0.965092809,4.419984717
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated1-rotated2.jpg,fracture,198.0046654,0.12033204,0.55980942,0.968162412,3.831362613
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated1-rotated3.jpg,fracture,233.0247144,0.113496178,0.51624324,0.963132269,4.626829955
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated1.jpg,fracture,260.9705196,0.113523877,0.524047378,0.959004732,4.607625483
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated2-rotated1.jpg,fracture,195.0546573,0.111923066,0.530918059,0.968550117,4.029359717
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated2-rotated2.jpg,fracture,194.2606982,0.111981824,0.546397596,0.968447387,3.867921493
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated2.jpg,fracture,236.2220882,0.115633696,0.52146194,0.96267354,4.678692085
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated3-rotated1.jpg,fracture,216.5355534,0.116065522,0.529553103,0.963549659,4.374758687
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated1-rotated3-rotated2.jpg,fracture,208.2014559,0.112315393,0.530897784,0.964896139,4.222450129
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated2-rotated1-rotated2.jpg,fracture,192.1053732,0.123765596,0.542530178,0.967988177,4.019666988
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated2-rotated1-rotated3.jpg,fracture,192.1053732,0.123765596,0.542530178,0.967988177,4.019666988
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated2-rotated2-rotated1.jpg,fracture,301.6066401,0.150459989,0.482995322,0.953366491,6.304637227
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated2-rotated2-rotated2.jpg,fracture,297.1036639,0.149184113,0.485840924,0.954082516,6.245877574
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated2-rotated2.jpg,fracture,222.8026464,0.111297612,0.521527548,0.964494885,4.448922136
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated2-rotated3-rotated2.jpg,fracture,271.1675515,0.131648697,0.494746176,0.957776026,5.527750965
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated2-rotated3.jpg,fracture,230.7495576,0.118633874,0.529393434,0.961331182,4.446026384
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated3-rotated1-rotated1.jpg,fracture,213.3181306,0.128463356,0.515263825,0.966793383,4.493645431
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated3-rotated1-rotated3.jpg,fracture,288.1370254,0.14411723,0.487164234,0.955440776,6.044481982
./pages/models/Bone Fracture Detection/Baseline/fracture/100-rotated3-rotated2-rotated3.jpg,fracture,260.9043396,0.147607814,0.493423586,0.959894825,5.433819981
./pages/models/Bone Fracture Detection/Baseline/fracture/100.jpg,fracture,50.36567712,0.135167958,0.691492477,0.9926356,1.496875269
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated1-rotated1-rotated1.jpg,fracture,153.8396678,0.134788336,0.472245197,0.978130684,4.922076094
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated1-rotated1-rotated3.jpg,fracture,161.9929215,0.155551812,0.478358173,0.977441863,5.213642214
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated1-rotated2-rotated2.jpg,fracture,150.9975265,0.114249416,0.475610486,0.977631153,4.740890444
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated1-rotated3-rotated1.jpg,fracture,157.566542,0.13631106,0.472711498,0.977654501,4.97604971
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated1-rotated3-rotated3.jpg,fracture,180.8573641,0.110523259,0.47183483,0.973691083,4.758787806
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated1-rotated3.jpg,fracture,156.5160674,0.084402268,0.48564195,0.975436687,4.42951657
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2-rotated1-rotated1.jpg,fracture,128.6554858,0.090220006,0.490725817,0.980020519,4.078547297
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2-rotated1-rotated2.jpg,fracture,140.3261342,0.084301587,0.465336296,0.978000051,4.831241956
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2-rotated1-rotated3.jpg,fracture,135.2564752,0.109310519,0.492393051,0.979697957,4.242639961
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2-rotated2-rotated1.jpg,fracture,161.4103925,0.077413054,0.46607525,0.974343704,4.661759974
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2-rotated2-rotated2.jpg,fracture,150.7842865,0.082872104,0.483694746,0.976217532,4.364804537
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2-rotated3-rotated2.jpg,fracture,146.3613859,0.087609543,0.484834988,0.977204944,4.296151062
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2-rotated3.jpg,fracture,164.1804215,0.117161489,0.475775769,0.975932902,4.801801802
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated2.jpg,fracture,202.3810127,0.084215417,0.455991303,0.968380299,5.584600225
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3-rotated1-rotated2.jpg,fracture,180.4869691,0.115783073,0.452236293,0.973772114,5.685207529
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3-rotated1-rotated3.jpg,fracture,184.0179175,0.153986426,0.459657951,0.974277379,5.974440959
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3-rotated2-rotated1.jpg,fracture,173.7215452,0.106690057,0.454466426,0.974670413,5.387367278
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3-rotated2.jpg,fracture,166.6219032,0.133031635,0.47529014,0.976154812,5.11104408
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3-rotated3-rotated1.jpg,fracture,174.4321308,0.096118418,0.454246405,0.974192791,5.159527831
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3-rotated3-rotated3.jpg,fracture,184.955337,0.15608452,0.459089653,0.974198064,6.140826094
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3-rotated3.jpg,fracture,194.0423303,0.126030274,0.480058794,0.972350356,4.941541988
./pages/models/Bone Fracture Detection/Baseline/fracture/101-rotated3.jpg,fracture,178.4581322,0.069394835,0.457409179,0.969995191,5.110923423
./pages/models/Bone Fracture Detection/Baseline/fracture/101.jpg,fracture,26.45257791,0.070245385,0.501192108,0.995337844,2.195055907
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated1-rotated1-rotated3.jpg,fracture,119.1985199,0.164580175,0.540634636,0.967553484,4.828748391
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated1-rotated1.jpg,fracture,94.10987773,0.146904212,0.568540324,0.973635356,3.911277349
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated1-rotated2-rotated2.jpg,fracture,106.9892817,0.130168294,0.534835637,0.96921306,4.381897523
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated1-rotated2.jpg,fracture,129.6785714,0.139786925,0.544948697,0.963471884,4.749034749
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated1-rotated3-rotated3.jpg,fracture,88.98200209,0.202756137,0.653552803,0.975784958,3.161780084
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated1-rotated3.jpg,fracture,86.8499638,0.197049895,0.654185801,0.97617141,3.042812902
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated1.jpg,fracture,175.1982384,0.132467188,0.532393765,0.949884209,5.420004826
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated2-rotated1-rotated2.jpg,fracture,95.4248713,0.145854986,0.562345303,0.973249848,3.915661197
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated2-rotated2-rotated1.jpg,fracture,104.4440154,0.156888864,0.573541728,0.971105198,3.848093629
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated2-rotated2-rotated3.jpg,fracture,112.2117318,0.157843454,0.558320088,0.969024551,4.241895914
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated2-rotated2.jpg,fracture,140.1630269,0.131391541,0.516666623,0.960216324,5.177143662
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated2-rotated3-rotated1.jpg,fracture,111.9809162,0.16151416,0.553815697,0.969470743,4.510879183
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated2-rotated3.jpg,fracture,146.5354126,0.177113904,0.55005153,0.960018853,5.172679376
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated2.jpg,fracture,121.5993605,0.145810883,0.568017431,0.965985762,4.308055824
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated1-rotated2.jpg,fracture,154.9443774,0.152599731,0.530617208,0.957058564,5.364784427
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated1-rotated3.jpg,fracture,113.0125483,0.143366078,0.544911458,0.968462994,4.464124839
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated1.jpg,fracture,86.05924228,0.185025789,0.629535013,0.976291928,3.200611326
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated2-rotated2.jpg,fracture,123.4769144,0.132766348,0.517182826,0.964824391,4.952984234
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated2-rotated3.jpg,fracture,132.1896919,0.156659867,0.529330272,0.963313134,5.100205116
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated2.jpg,fracture,115.0377856,0.168065924,0.596885649,0.968395566,3.760597651
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated3-rotated3.jpg,fracture,123.2787363,0.172815813,0.542802896,0.966134243,4.918697716
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3-rotated3.jpg,fracture,80.08116152,0.177867515,0.616282771,0.977920945,3.238618082
./pages/models/Bone Fracture Detection/Baseline/fracture/102-rotated3.jpg,fracture,120.1342101,0.148802266,0.570373808,0.966505528,4.271034427
./pages/models/Bone Fracture Detection/Baseline/fracture/102.jpg,fracture,16.0379532,0.187163947,0.774219084,0.995283359,1.000110933
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated1-rotated1.jpg,fracture,123.5288168,0.205631978,0.574330322,0.97935561,4.09706805
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated1-rotated2.jpg,fracture,90.17191522,0.207675787,0.577458792,0.985475326,3.93949083
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated1-rotated3.jpg,fracture,112.6904963,0.216116508,0.558602825,0.982446496,4.579613095
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated2-rotated2.jpg,fracture,76.80616554,0.205420432,0.586438387,0.987525122,3.648668758
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated2-rotated3.jpg,fracture,158.484013,0.213221681,0.542938729,0.97559096,5.360420689
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated2.jpg,fracture,116.091176,0.209037495,0.584683079,0.980262731,4.133244852
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated3-rotated2.jpg,fracture,92.32175032,0.211685484,0.570433076,0.985236314,4.034185972
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated3-rotated3.jpg,fracture,133.4602437,0.204228531,0.571876343,0.978582923,4.441019144
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1-rotated3.jpg,fracture,98.00311696,0.205591337,0.577003269,0.983772234,4.06183639
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated1.jpg,fracture,141.7108671,0.215504937,0.585896025,0.976160617,4.375160875
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated1-rotated1.jpg,fracture,114.1167149,0.206732614,0.593830176,0.981468108,3.924107143
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated1-rotated2.jpg,fracture,115.4647482,0.205373423,0.590873079,0.981298568,3.957589286
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated1-rotated3.jpg,fracture,131.4734154,0.212770248,0.58017959,0.979277255,4.423463642
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated1.jpg,fracture,115.4497667,0.195269091,0.561385709,0.981180567,4.272401866
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated2-rotated1.jpg,fracture,102.9910111,0.194897255,0.554502086,0.983482637,4.209238256
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated2-rotated2.jpg,fracture,102.9910111,0.194897255,0.554502086,0.983482637,4.209238256
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated2-rotated3.jpg,fracture,105.9734355,0.210485849,0.59646714,0.983270814,3.807935167
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated2.jpg,fracture,112.2994892,0.19819171,0.571818476,0.981669894,4.126186454
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2-rotated3-rotated3.jpg,fracture,105.1374678,0.199244251,0.578943889,0.983229022,3.915017696
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated2.jpg,fracture,134.5743243,0.216112502,0.587306073,0.977525713,4.361164736
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated1-rotated1.jpg,fracture,109.0125684,0.21103139,0.580394598,0.981591681,4.001186454
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated1-rotated2.jpg,fracture,110.0278716,0.20706995,0.580011075,0.9814306,3.994650901
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated2-rotated1.jpg,fracture,98.61486486,0.212679787,0.587150068,0.983209943,3.888754826
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated2-rotated2.jpg,fracture,90.4092463,0.205543475,0.576587911,0.985261177,3.931205759
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated2-rotated3.jpg,fracture,119.9701375,0.212588851,0.592720436,0.979868374,3.944397523
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated2.jpg,fracture,141.6656411,0.198165345,0.563026965,0.977170968,4.534849582
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated3-rotated2.jpg,fracture,114.0577743,0.214445993,0.564473354,0.982052913,4.516590251
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3-rotated3.jpg,fracture,101.8425434,0.215182597,0.572643577,0.984051793,4.237250644
./pages/models/Bone Fracture Detection/Baseline/fracture/103-rotated3.jpg,fracture,116.6454714,0.207199047,0.574150372,0.980810717,4.366714929
./pages/models/Bone Fracture Detection/Baseline/fracture/103.jpg,fracture,52.71822149,0.245289788,0.723771163,0.991215939,1.569120376
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated1-rotated1.jpg,fracture,105.0950169,0.27041484,0.638249012,0.98705614,3.372446107
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated1-rotated2.jpg,fracture,116.0419482,0.276899073,0.637521891,0.985722447,3.748149936
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated1-rotated3.jpg,fracture,142.8507079,0.280686092,0.631724732,0.982761557,4.637427606
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated1.jpg,fracture,95.5006435,0.297206058,0.687182799,0.98791071,2.720479408
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated2-rotated1.jpg,fracture,139.1904159,0.279785806,0.634717736,0.983164789,4.486184846
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated2-rotated2.jpg,fracture,143.1591055,0.280325654,0.628580867,0.98271731,4.649493243
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated2-rotated3.jpg,fracture,32.49235843,0.284673053,0.690744611,0.996031635,2.148367117
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated3-rotated1.jpg,fracture,146.3885135,0.281360451,0.640767571,0.982246186,4.356499356
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated1-rotated3-rotated2.jpg,fracture,146.3885135,0.281360451,0.640767571,0.982246186,4.356499356
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2-rotated1-rotated3.jpg,fracture,89.49376609,0.29390707,0.688164924,0.989011354,2.789333977
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2-rotated1.jpg,fracture,71.01763594,0.31294065,0.719576195,0.991015865,2.322534588
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2-rotated2-rotated1.jpg,fracture,64.24308237,0.328048384,0.704644803,0.991745061,2.365548584
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2-rotated2-rotated2.jpg,fracture,123.1148246,0.301752261,0.669092121,0.984606767,3.274694337
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2-rotated3-rotated1.jpg,fracture,109.5608108,0.294040406,0.688807642,0.98648027,2.921573359
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2-rotated3-rotated3.jpg,fracture,109.1833172,0.292829691,0.679411082,0.986554347,3.007561133
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2-rotated3.jpg,fracture,126.2211229,0.315099168,0.693689561,0.983958926,2.921010296
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated2.jpg,fracture,87.22243002,0.328154062,0.706335787,0.988853323,2.552586068
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3-rotated1-rotated1.jpg,fracture,117.2940798,0.275104933,0.639378191,0.985733082,3.78856982
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3-rotated1-rotated2.jpg,fracture,120.9227196,0.276197664,0.633393673,0.985287825,3.938445142
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3-rotated2-rotated1.jpg,fracture,145.4827864,0.282102998,0.636838389,0.982319216,4.363980051
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3-rotated2-rotated3.jpg,fracture,109.7730655,0.276895156,0.642976974,0.986646503,3.56481258
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3-rotated3-rotated1.jpg,fracture,108.2232344,0.274938595,0.641688334,0.986775171,3.490970882
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3-rotated3-rotated2.jpg,fracture,130.1174791,0.280700795,0.634025288,0.984155284,4.188545689
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3-rotated3-rotated3.jpg,fracture,143.4068734,0.279142496,0.629541164,0.982683548,4.664032336
./pages/models/Bone Fracture Detection/Baseline/fracture/104-rotated3.jpg,fracture,132.1320986,0.296282015,0.682631582,0.983942024,3.313284266
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated1-rotated1-rotated3.jpg,fracture,54.92412725,0.158561315,0.53641911,0.98885637,3.808659106
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated1-rotated2-rotated1.jpg,fracture,50.82553089,0.145381495,0.529229812,0.989787138,3.458413771
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated1-rotated2-rotated3.jpg,fracture,56.98067487,0.16043206,0.531556929,0.988413844,3.889016248
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated1-rotated3-rotated1.jpg,fracture,56.78515122,0.161915401,0.532827957,0.988441703,3.915942728
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated1-rotated3-rotated2.jpg,fracture,81.77388996,0.176462518,0.535147938,0.983360816,4.529560811
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated1-rotated3-rotated3.jpg,fracture,74.50828507,0.171067357,0.531707115,0.984800833,4.378820785
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated1.jpg,fracture,84.65848214,0.13502722,0.52374427,0.983193942,3.938646236
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated2-rotated1-rotated3.jpg,fracture,61.16413288,0.128298703,0.536906516,0.987690452,3.054214929
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated2-rotated1.jpg,fracture,110.6122909,0.124180585,0.50623113,0.977296555,3.987813707
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated2-rotated2-rotated2.jpg,fracture,96.60754505,0.124172393,0.522301211,0.979647425,3.370374839
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated2-rotated2.jpg,fracture,81.70996219,0.128717576,0.525164439,0.983430765,3.534970238
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated2-rotated3-rotated1.jpg,fracture,104.5552003,0.128614444,0.529237923,0.979324437,3.503197394
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated2-rotated3-rotated3.jpg,fracture,86.23767294,0.180813504,0.527110986,0.982485306,4.869228604
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated2.jpg,fracture,78.44347249,0.134790657,0.536407334,0.983367516,3.42485119
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated3-rotated1-rotated1.jpg,fracture,100.7164575,0.137598337,0.542792324,0.980126172,3.470358752
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated3-rotated1-rotated2.jpg,fracture,98.90801963,0.138892985,0.549686207,0.980493478,3.315878378
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated3-rotated1.jpg,fracture,77.79733752,0.134500243,0.538845712,0.984706831,3.265001609
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated3-rotated2-rotated2.jpg,fracture,58.69510135,0.162184378,0.559150874,0.988744981,3.15327381
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated3-rotated2.jpg,fracture,78.46921252,0.140531657,0.542721116,0.984696922,3.324062902
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated3-rotated3.jpg,fracture,89.05825692,0.172902248,0.521522546,0.981996507,4.93816361
./pages/models/Bone Fracture Detection/Baseline/fracture/105-rotated3.jpg,fracture,95.53173263,0.133964873,0.527760645,0.9805618,3.801560489
./pages/models/Bone Fracture Detection/Baseline/fracture/106-rotated1-rotated1-rotated1.jpg,fracture,66.95664414,0.179406769,0.624306286,0.982162773,2.575772201
./pages/models/Bone Fracture Detection/Baseline/fracture/106-rotated1-rotated1-rotated3.jpg,fracture,57.09509733,0.184219833,0.589744322,0.984939003,3.201315154
./pages/models/Bone Fracture Detection/Baseline/fracture/106-rotated1-rotated1.jpg,fracture,63.9991353,0.178158997,0.612416531,0.982773468,2.694236647
./pages/models/Bone Fracture Detection/Baseline/fracture/106-rotated1-rotated2-rotated2.jpg,fracture,81.40017696,0.183653572,0.627999836,0.97833947,2.731298263
./pages/models/Bone Fracture Detection/Baseline/fracture/106-rotated1-rotated2-rotated3.jpg,fracture,80.95708655,0.184346425,0.633838693,0.978455321,2.682995495
